Company,URL,X-Handle,Other Contact
ai-solutions,www.ai-solutions.com,@ai-solutions,
ibm,www.ibm.com,@ibm,
commure,www.commure.com,@commure,
c3,www.c3.ai,@c3,
openai,www.openai.com,@openai,
landing,www.landing.ai,@landing,
credo,www.credo.ai,@credo,
iris,www.iris.ai,@iris,
aidoc,www.aidoc.com,@aidoc,
moveworks,www.moveworks.com,@moveworks,
amplifai,www.amplifai.com,@amplifai,
signal-ai,www.signal-ai.com,@signal-ai,
symphonyai,www.symphonyai.com,@symphonyai,
virtualitics,www.virtualitics.com,@virtualitics,
stack-ai,www.stack-ai.com,@stack-ai,
unisys,www.unisys.com,@unisys,
addepto,www.addepto.com,@addepto,
thelevel,www.thelevel.ai,@thelevel,
databricks,www.databricks.com,@databricks,
quantiphi,www.quantiphi.com,@quantiphi,
ediscoveryai,www.ediscoveryai.com,@ediscoveryai,
clarity,www.clarity.ai,@clarity,
protectai,www.protectai.com,@protectai,
oracle,www.oracle.com,@oracle,
empower,www.empower.ai,@empower,
arya,www.arya.ai,@arya,
solidigm,www.solidigm.com,@solidigm,
clarivate,www.clarivate.com,@clarivate,
bigbear,www.bigbear.io,@bigbear,
cerence,www.cerence.com,@cerence,
interactions,www.interactions.com,@interactions,
workday,www.workday.com,@workday,
ips-ai,www.ips-ai.com,@ips-ai,
carahsoft,www.carahsoft.com,@carahsoft,
cdw,www.cdw.com,@cdw,
zs,www.zs.com,@zs,
softchoice,www.softchoice.com,@softchoice,
onestream,www.onestream.com,@onestream,
googleworkspace,www.workspace.google.com,@googleworkspace,
shield,www.shield.ai,@shield,
wolterskluwer,www.wolterskluwer.com,@wolterskluwer,
digital.ai,www.digital.ai,@digital.ai,
gartner,www.gartner.com,@gartner,
cohere,www.cohere.com,@cohere,
crowe,www.crowe.com,@crowe,
teneo,www.teneo.ai,@teneo,
eplus,www.eplus.com,@eplus,
eightfold,www.eightfold.ai,@eightfold,
liveperson,www.liveperson.com,@liveperson,
cloudgoogle,www.cloud.google.com,@cloudgoogle,
rws,www.rws.com,@rws,
cognizant,www.cognizant.com,@cognizant,
genai-solutions,www.genai-solutions.com,@genai-solutions,
boozallen,www.boozallen.com,@boozallen,
vmware,www.vmware.com,@vmware,
cgi,www.cgi.com,@cgi,
impel,www.impel.io,@impel,
mckinsey,www.mckinsey.com,@mckinsey,
accenture,www.accenture.com,@accenture,
dell,www.dell.com,@dell,
cognite,www.cognite.com,@cognite,
cloudflare,www.cloudflare.com,@cloudflare,
Adobe,www.adobe.com,@Adobe,
bny,www.bny.com,@bny,
deloitte,www.deloitte.com,@deloitte,
amperecomputing,www.amperecomputing.com,@amperecomputing,
altair,www.altair.com,@altair,
capgemini,www.capgemini.com,@capgemini,
faculty,www.faculty.ai,@faculty,
jdcorporateblog,www.jdcorporateblog.com,@jdcorporateblog,
zendesk,www.zendesk.com,@zendesk,
xebia,www.xebia.com,@xebia,
informatica,www.informatica.com,@informatica,
publicissapient,www.publicissapient.com,@publicissapient,
datarobot,www.datarobot.com,@datarobot,
ingrammicro,www.ingrammicro.com,@ingrammicro,
anthropic,www.anthropic.com,@anthropic,
logility,www.logility.com,@logility,
kantar,www.kantar.com,@kantar,
yellowai,www.yellowai.com,@yellowai,
slb,www.slb.com,@slb,
elastic,www.elastic.co,@elastic,
atlassian,www.atlassian.com,@atlassian,
insight,www.insight.com,@insight,
om1,www.om1.com,@om1,
venasolutions,www.venasolutions.com,@venasolutions,
egen,www.egen.ai,@egen,
